School name,Position,Rank,2012-2013,Private,Religious,Catholic,Type
Tranmere Park Primary School,1,1,100%,FALSE,FALSE,FALSE,Primary
St Josephs Catholic Primary School Wetherby,2,0.995260664,99%,FALSE,TRUE,TRUE,Primary
Crossley Street Primary School,3,0.990521327,98%,FALSE,FALSE,FALSE,Primary
St Anthonys Catholic Primary School Beeston,4,0.985781991,97%,FALSE,TRUE,TRUE,Primary
Hawksworth Church of England Primary School,5,0.981042654,97%,FALSE,TRUE,FALSE,Primary
Beecroft Primary School,6,0.976303318,97%,FALSE,FALSE,FALSE,Primary
Talbot Primary School,7,0.971563981,96%,FALSE,FALSE,FALSE,Primary
Morley Victoria Primary School,8,0.966824645,95%,FALSE,FALSE,FALSE,Primary
Scholes (Elmet) Primary School,9,0.962085308,94%,FALSE,FALSE,FALSE,Primary
Adel Primary School,10,0.957345972,94%,FALSE,FALSE,FALSE,Primary
Harewood Church of England Voluntary Controlled Primary School,11,0.952606635,94%,FALSE,TRUE,FALSE,Primary
St Marys Catholic Primary School Horsforth,12,0.947867299,94%,FALSE,TRUE,TRUE,Primary
Moortown Primary School,13,0.943127962,94%,FALSE,FALSE,FALSE,Primary
Calverley Church of England Voluntary Aided Primary School,14,0.938388626,94%,FALSE,TRUE,FALSE,Primary
Meanwood Church of England Primary School,15,0.933649289,93%,FALSE,TRUE,FALSE,Primary
Bramhope Primary School,16,0.928909953,93%,FALSE,FALSE,FALSE,Primary
West End Primary School,17,0.924170616,93%,FALSE,FALSE,FALSE,Primary
Manston Primary School,18,0.91943128,93%,FALSE,FALSE,FALSE,Primary
Colton Primary School,19,0.914691943,92%,FALSE,FALSE,FALSE,Primary
Westbrook Lane Primary School,20,0.909952607,92%,FALSE,FALSE,FALSE,Primary
Primrose Lane Primary School,21,0.90521327,92%,FALSE,FALSE,FALSE,Primary
Calverley Parkside Primary School,22,0.900473934,92%,FALSE,FALSE,FALSE,Primary
Deighton Gates Primary School,23,0.895734597,91%,FALSE,FALSE,FALSE,Primary
Beeston Hill St Lukes Church of England Primary School,24,0.890995261,91%,FALSE,TRUE,FALSE,Primary
Shadwell Primary School,25,0.886255924,91%,FALSE,FALSE,FALSE,Primary
Holy Family Catholic Primary School,26,0.881516588,90%,FALSE,TRUE,TRUE,Primary
White Laith Primary School,27,0.876777251,90%,FALSE,FALSE,FALSE,Primary
Wigton Moor Primary School,28,0.872037915,90%,FALSE,FALSE,FALSE,Primary
